Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
P_4oC_6,PoC,28,51,9,9,0.637555,OPT,0.905212,OPT,OPT,9,none,252,252,2392,2392,2392,2392,0.0,0.0,"Sym,Base",YES,1,1361,1857,24408,0.017378,0.008707,True,1,1361,1857,24408,0.03429,0.02337,True
C_4xC_7,CxC,28,56,7,7,0.779669,OPT,0.624703,OPT,OPT,7,order,196,196,2184,2192,2184,2160,0.0,1.0989,"Base,Sym",YES,3,1533,2324,36333,0.07224,0.022602,True,3,1068,1648,25713,0.053195,0.010568,True
C_4xP_7,CxP,28,52,7,7,0.763259,OPT,0.567269,OPT,OPT,7,order,196,196,1968,1976,1968,1954,0.0,0.7114,"Sym,Base",YES,3,556,798,9417,0.061647,0.004206,True,3,558,803,9437,0.055468,0.005095,True
P_4xP_7,PxP,28,45,6,6,0.59034,OPT,0.525593,OPT,OPT,6,none,168,168,1485,1485,1485,1485,0.0,0.0,"Base,Sym",YES,3,128,213,2207,0.048985,0.002259,True,3,128,213,2207,0.030354,0.001078,True
C_4oC_7,CoC,32,60,11,11,1.253706,OPT,1.230295,OPT,OPT,11,order,352,352,3728,3740,3728,3672,0.0,1.5021,"Sym,Base",YES,2,50660,64023,1018438,0.043309,0.749055,True,2,39132,48432,716461,0.058714,0.595295,True
P_4oP_7,PoP,32,55,10,10,0.649312,OPT,0.609673,OPT,OPT,10,none,320,320,3137,3137,3137,3137,0.0,0.0,"Base,Sym",YES,2,3416,4418,52211,0.065188,0.034,True,2,3416,4418,52211,0.042573,0.03093,True
C_4oP_7,CoP,32,56,11,11,1.021398,OPT,1.297281,OPT,OPT,11,order,352,352,3640,3652,3640,3584,0.0,1.5385,"Sym,Base",YES,2,39863,50213,743390,0.049599,0.48277,True,2,43987,55045,886151,0.051653,0.763279,True
P_4oC_7,PoC,32,59,10,10,0.660679,OPT,0.58367,OPT,OPT,10,none,320,320,3217,3217,3217,3217,0.0,0.0,"Base,Sym",YES,2,5038,6311,90319,0.071072,0.055818,True,2,5038,6311,90319,0.058086,0.071922,True
C_4xC_8,CxC,32,64,7,7,0.694621,OPT,0.598905,OPT,OPT,7,order,224,224,2496,2504,2496,2472,0.0,0.9615,"Sym,Base",YES,3,758,1056,15657,0.057104,0.005704,True,3,536,790,11157,0.085235,0.007524,True
C_4xP_8,CxP,32,60,7,7,0.608404,OPT,0.524377,OPT,OPT,7,order,224,224,2280,2288,2280,2266,0.0,0.614,"Base,Sym",YES,3,565,837,9731,0.057697,0.00522,True,3,586,831,10096,0.050729,0.003928,True
P_4xP_8,PxP,32,52,6,6,0.783445,OPT,0.519089,OPT,OPT,6,none,192,192,1722,1722,1722,1722,0.0,0.0,"Sym,Base",YES,3,120,217,2476,0.033792,0.001084,True,3,120,217,2476,0.04063,0.000953,True
C_4oC_8,CoC,36,68,12,12,3.311276,OPT,1.709666,OPT,OPT,12,order,432,432,4810,4823,4810,4747,0.0,1.3098,"Base,Sym",YES,2,135043,165856,2715233,0.076248,2.6711,True,2,81444,99792,1633486,0.067731,1.208904,True
P_4oP_8,PoP,36,63,11,11,0.636286,OPT,0.834403,OPT,OPT,11,none,396,396,4110,4110,4110,4110,0.0,0.0,"Sym,Base",YES,2,5537,7361,104705,0.065515,0.057764,True,2,5537,7361,104705,0.108892,0.110446,True
C_4oP_8,CoP,36,64,12,12,4.82828,OPT,2.439095,OPT,OPT,12,order,432,432,4714,4727,4714,4651,0.0,1.3364,"Base,Sym",YES,2,206462,253411,4035047,0.079966,4.281143,True,2,122885,150835,2489573,0.05887,1.979851,True
P_4oC_8,PoC,36,67,11,11,0.605492,OPT,0.851773,OPT,OPT,11,none,396,396,4198,4198,4198,4198,0.0,0.0,"Sym,Base",YES,2,10966,14078,215516,0.057367,0.124482,True,2,10966,14078,215516,0.080934,0.119217,True
C_4xC_9,CxC,36,72,7,7,0.720467,OPT,0.545631,OPT,OPT,7,order,252,252,2808,2816,2808,2784,0.0,0.8547,"Base,Sym",YES,3,1120,1828,26551,0.100408,0.012275,True,3,706,1142,16301,0.055555,0.005623,True
C_4xP_9,CxP,36,68,7,7,0.448719,OPT,0.538308,OPT,OPT,7,order,252,252,2592,2600,2592,2578,0.0,0.5401,"Sym,Base",YES,3,570,876,10023,0.044724,0.003729,True,3,555,842,9745,0.064502,0.004074,True
P_4xP_9,PxP,36,59,6,6,0.486597,OPT,0.521254,OPT,OPT,6,none,216,216,1959,1959,1959,1959,0.0,0.0,"Base,Sym",YES,3,138,246,2600,0.04304,0.001124,True,3,138,246,2600,0.047438,0.001073,True
C_4oC_9,CoC,40,76,13,13,8.70261,OPT,7.444198,OPT,OPT,13,order,520,520,6068,6082,6068,5998,0.0,1.1536,"Sym,Base",YES,2,390146,472876,7481930,0.07849,8.205051,True,2,336909,421532,6512182,0.081267,6.921759,True
